Power_mW	Cell.size_um2	target_cell_induction	neighborings_induction	local_cells_induction	cell_death
11	2866.029	0	1	1	0
11	2511.446	0	1	1	0
11	4826.112	0	1	1	0
11	3541.712	0	1	1	0
11	4260.701	0	0	0	0
11	3045.803	0	1	1	0
11	4696.51	0	0	0	0
11	4735.908	0	1	1	0
11	3263.707	0	1	1	0
11	4604.088	1	1	1	0
11	5882.996	1	1	1	0
11	4001.075	0	1	1	0
11	2209.464	NA	NA	NA	1
11	5193.053	0	1	1	0
11.5	2110.731	0	1	1	0
11.5	4505.989	0	1	1	0
11.5	2631.647	1	1	1	0
11.5	3137.775	0	1	1	0
11.5	2039.038	0	1	1	0
12	1530.374	1	1	1	0
12	4992.815	0	1	1	0
12	2053.06	NA	NA	NA	1
12	3838.941	1	1	1	0
12	5230.392	0	1	1	0
12	4457.639	0	1	1	0
12	3091.459	1	1	1	0
12.5	2988.554	NA	NA	NA	1
12.5	2543.265	0	1	1	0
12.5	3436.879	0	1	1	0
12.5	3568.198	0	1	1	0
12.5	3604.4	0	1	1	0
12.5	3250.478	NA	NA	NA	1
12.5	2757.394	1	1	1	0
12.5	3050.45	0	1	1	0
12.5	2924.968	0	1	1	0
12.5	4193.973	0	1	1	0
12.5	4352.067	1	1	1	0
12.5	1732.409	0	1	1	0
12.5	2175.928	NA	NA	NA	1
12.5	2400.988	0	1	1	0
12.5	1829.557	NA	NA	NA	1
12.5	2918.736	1	1	1	0
12.5	2810.945	1	1	1	0
12.5	3369.755	0	1	1	0
12.5	3159.297	1	1	1	0
13	1500.007	NA	NA	NA	1
13	3385.572	1	1	1	0
13	2482.425	1	1	1	0
13	5041.138	0	1	1	0
13	3005.956	0	0	0	0
13	2862.622	1	1	1	0
13	1723.853	1	1	1	0
13	5933.643	0	1	1	0
13	4410.372	0	1	1	0
13	4679.135	0	1	1	0
13	3993.391	0	1	1	0
13	2905.137	0	1	1	0
13	965.729	NA	NA	NA	1
13	3099.196	1	1	1	0
13	2758.608	0	1	1	0
13	2080.918	0	1	1	0
13	2524.543	NA	NA	NA	1
13	2917.6	0	1	1	0
13	3440.814	0	1	1	0
13	1093.879	NA	NA	NA	1
13	3899.702	0	1	1	0
13	3034.976	0	1	1	0
13	1653.163	0	1	1	0
13	2104.129	NA	NA	NA	1
13	2652.825	1	1	1	0
13	2713.506	0	1	1	0
13	2519.104	NA	NA	NA	1
13	1703.652	0	1	1	0
13.5	2797.927	0	1	1	0
13.5	3743.086	0	1	1	0
13.5	3644.828	0	1	1	0
13.5	4007.65	0	1	1	0
13.5	3694.261	0	1	1	0
13.5	2768.141	1	1	1	0
13.5	2977.146	1	1	1	0
13.5	3588.372	1	1	1	0
13.5	4427.853	1	1	1	0
13.5	2856.707	0	1	1	0
13.5	2575.349	NA	NA	NA	1
13.5	3461.78	0	1	1	0
13.5	3048.76	0	1	1	0
13.5	2317.386	1	1	1	0
13.5	3443.27	0	1	1	0
13.5	4371.291	0	1	1	0
13.5	2471.863	0	1	1	0
13.5	1705.897	0	1	1	0
13.5	3324.705	0	1	1	0
13.5	3401.468	0	1	1	0
13.5	3186.574	0	1	1	0
13.5	2906.774	0	1	1	0
13.5	2149.759	NA	NA	NA	1
13.5	3204.267	NA	NA	NA	1
13.5	4947.211	1	1	1	0
13.5	3702.236	1	1	1	0
14	1112.733	NA	NA	NA	1
14	3885.759	1	1	1	0
14	3820.588	1	1	1	0
14	2128.898	NA	NA	NA	1
14	2935.741	1	1	1	0
